date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-01-10,NIFTY,VWAP,PUT,NEUTRAL,-0.022,13:25:00,13:30:00,23488.65,180.69,23536.3,1,50,50,135.19,2175.18,2133.14,23.74,Hard close (14:30),6
2025-01-13,NIFTY,VWAP,PUT,BEARISH,-1.032,11:25:00,11:30:00,23240.8,126.42,23274.2,1,50,50,27.96,4822.94,4782.51,76.26,Hard close (14:30),3
2025-01-15,NIFTY,VWAP,PUT,NEUTRAL,0.188,11:30:00,11:35:00,23213.1,72.9,23248.95,1,50,50,40.92,1499.12,1458.49,40.57,Hard close (14:30),1
2025-01-17,NIFTY,ORB,PUT,BEARISH,-0.316,10:45:00,10:50:00,23149.15,178.08,23204.56,1,50,50,180.02,-197.08,-239.8,-2.71,Hard close (14:30),6
2025-01-22,NIFTY,VWAP,PUT,NEUTRAL,0.2,10:35:00,10:40:00,23074.25,72.47,23114.5,1,50,50,20.46,2500.66,2460.33,68.85,Short TP,1
2025-01-24,NIFTY,ORB,CALL,NEUTRAL,-0.14,11:40:00,11:45:00,23321.95,179.41,23257.77,1,50,50,234.35,-2847.1,-2890.63,-32.4,Hard close (14:30),6
2025-01-28,NIFTY,ORB,CALL,BULLISH,0.629,11:35:00,11:40:00,22997.3,102.14,22943.84,1,50,50,26.38,3687.78,3647.37,72.13,Hard close (14:30),2
2025-01-29,NIFTY,ORB,CALL,NEUTRAL,0.22,10:55:00,11:00:00,23122.75,72.62,23041.84,1,50,50,134.57,-3197.45,-3239.49,-90.46,Short SL,1
2025-02-01,NIFTY,SMC,PUT,NEUTRAL,-0.022,11:35:00,11:40:00,23587.4,165.64,23642.45,1,50,50,45.4,5912.14,5871.44,71.32,Short TP,5
2025-02-03,NIFTY,SMC,PUT,BEARISH,-0.749,13:00:00,13:05:00,23330.4,126.91,23348.9,1,50,50,130.75,-291.87,-333.85,-5.3,Hard close (14:30),3
2025-02-04,NIFTY,ORB,PUT,BULLISH,0.643,10:35:00,10:40:00,23426.45,104.05,23507.74,1,50,50,156.27,-2710.95,-2753.31,-53.44,Short SL,2
2025-02-04,NIFTY,ORB,CALL,BULLISH,0.643,11:45:00,11:50:00,23599.0,104.81,23545.46,1,50,50,61.12,2084.52,2043.59,39.37,Hard close (14:30),2
2025-02-05,NIFTY,SMC,CALL,BULLISH,0.397,11:20:00,11:25:00,23748.7,74.58,23703.55,1,50,50,65.17,370.29,329.3,8.95,Hard close (14:30),1
