date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-05-28,BANKNIFTY,PUT,09:50:00,55392.75,SWING_H,82.35,2.0,7.1,BEAR,55371.05,55491.74,55129.66,460.08,466.8,1,15,15,40.82,-1.27,-0.02,No-run exit,7
2025-05-29,BANKNIFTY,PUT,09:35:00,55521.8,PDH,33.35,2.0,23.0,BULL,55403.7,55571.82,55067.47,426.21,441.02,1,15,15,162.13,120.15,1.88,No-run exit,6
2025-05-30,BANKNIFTY,PUT,13:35:00,55704.25,OR_H,43.15,2.0,10.8,BULL,55680.2,55764.12,55512.35,391.01,388.71,1,15,15,-94.47,-136.21,-2.32,No-run exit,5
2025-06-03,BANKNIFTY,PUT,09:55:00,55875.75,SWING_H,33.6,2.0,15.8,BULL,55798.3,55926.12,55542.65,175.24,106.9,1,15,15,-1085.09,-1125.56,-42.82,SL hit (theta),1
2025-06-04,BANKNIFTY,CALL,09:55:00,55455.8,PDL,47.45,2.0,8.4,BEAR,55501.95,55391.73,55722.4,461.17,473.15,1,15,15,119.74,77.62,1.12,No-run exit,7
2025-06-05,BANKNIFTY,PUT,10:05:00,55791.0,PDH,39.9,2.0,13.4,BULL,55740.1,55847.65,55525.0,428.79,423.1,1,15,15,-145.41,-187.31,-2.91,No-run exit,6
2025-06-06,BANKNIFTY,PUT,10:10:00,55875.75,SWING_H,126.5,2.0,26.8,BULL,55690.55,56019.05,55033.55,391.09,197.22,1,15,15,-2968.11,-3008.99,-51.29,SL hit (theta),5
2025-06-10,BANKNIFTY,CALL,09:35:00,56618.4,OR_L,48.1,2.0,25.8,NEUTRAL,56719.25,56553.33,57051.09,178.13,190.57,1,15,15,126.64,85.8,3.21,No-run exit,1
2025-06-11,BANKNIFTY,CALL,09:55:00,56564.15,PDL,53.5,2.0,18.2,NEUTRAL,56575.25,56493.7,56738.36,470.09,459.7,1,15,15,-215.83,-257.89,-3.66,No-run exit,7
2025-06-13,BANKNIFTY,PUT,12:25:00,55515.2,OR_H,37.7,1.55,34.0,BEAR,55500.25,55569.57,55392.75,389.75,389.06,1,15,15,-70.41,-112.15,-1.92,No-run exit,5
2025-06-16,BANKNIFTY,PUT,11:55:00,55782.75,SWING_H,60.1,2.0,32.6,NEUTRAL,55744.55,55859.6,55514.44,247.58,238.06,1,15,15,-202.73,-243.79,-6.56,No-run exit,2
2025-06-17,BANKNIFTY,CALL,10:20:00,55870.9,OR_L,30.0,2.0,36.7,BULL,55913.55,55824.15,56092.35,175.6,115.27,1,15,15,-964.92,-1005.43,-38.17,SL hit,1
2025-06-18,BANKNIFTY,PUT,09:55:00,55875.75,SWING_H,33.95,2.0,23.3,BEAR,55838.8,55926.47,55663.45,463.97,460.18,1,15,15,-116.85,-158.91,-2.28,No-run exit,7
2025-06-20,BANKNIFTY,PUT,10:45:00,56067.3,WEEK_H,52.65,2.0,33.7,BEAR,56056.35,56136.79,55895.48,393.65,322.6,1,15,15,-1125.69,-1167.13,-19.77,SL hit,5
2025-06-24,BANKNIFTY,CALL,09:40:00,56539.9,SWING_L,59.95,2.0,33.3,BULL,56557.35,56463.01,56746.04,177.62,188.44,1,15,15,102.31,61.47,2.31,No-run exit,1
2025-06-25,BANKNIFTY,PUT,09:50:00,56603.65,OR_H,43.15,2.0,16.5,NEUTRAL,56578.0,56663.79,56406.41,470.11,434.3,1,15,15,-597.17,-639.11,-9.06,No-run exit,7
2025-06-26,BANKNIFTY,PUT,12:50:00,56862.0,WEEK_H,40.3,2.0,10.1,NEUTRAL,56817.95,56919.37,56615.11,437.09,382.7,1,15,15,-875.91,-917.62,-14.0,SL hit,6
2025-07-01,BANKNIFTY,CALL,12:20:00,57310.7,OR_L,39.25,2.0,17.0,NEUTRAL,57336.4,57254.27,57500.66,180.07,247.37,1,15,15,949.43,908.33,33.63,Target hit,1
2025-07-03,BANKNIFTY,PUT,13:50:00,56981.95,SWING_H,116.7,2.0,39.9,BEAR,56967.5,57115.78,56670.94,438.24,457.63,1,15,15,230.89,188.84,2.87,No-run exit,6
2025-07-04,BANKNIFTY,CALL,09:55:00,56764.1,PDL,51.8,1.71,11.6,BEAR,56785.2,56695.29,56938.75,398.77,413.24,1,15,15,157.05,115.2,1.93,No-run exit,5
2025-07-07,BANKNIFTY,CALL,13:05:00,56868.7,OR_L,30.15,2.0,23.8,NEUTRAL,56933.75,56821.5,57158.25,252.87,241.37,1,15,15,-232.47,-273.55,-7.21,No-run exit,2
2025-07-11,BANKNIFTY,PUT,09:50:00,56981.95,SWING_H,38.85,2.0,13.2,BEAR,56946.2,57037.91,56762.79,399.9,483.11,1,15,15,1188.16,1145.99,19.1,Target hit,5
2025-07-14,BANKNIFTY,CALL,09:45:00,56833.8,SWING_L,82.7,2.0,24.4,BEAR,56838.05,56734.07,57046.0,252.44,259.67,1,15,15,48.42,7.26,0.19,No-run exit,2
2025-07-15,BANKNIFTY,PUT,13:35:00,56981.95,SWING_H,30.65,2.0,26.8,NEUTRAL,56959.4,57029.7,56818.79,178.88,176.79,1,15,15,-91.28,-132.06,-4.92,No-run exit,1
