date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-03-07,NIFTY,VWAP,PUT,NEUTRAL,-0.091,11:45:00,11:50:00,22549.75,78.06,22600.15,0.0,3,50,150,0,0.0,0,0.0,71.83,-1234.43,-1277.61,-10.77,NO_MOVE_TREND_LOST,6
2025-03-12,NIFTY,ORB,PUT,NEUTRAL,0.063,10:45:00,10:50:00,22421.2,31.68,22488.29,22259.15,3,50,150,1,45.924559280492204,1,48.6513683742744,43.81,1867.4,1825.37,37.24,Trail SL,1
2025-03-13,NIFTY,ORB,PUT,BULLISH,0.325,11:35:00,11:40:00,22431.5,83.88,22489.08,22317.0,2,50,100,0,0.0,0,0.0,82.06,-381.51,-423.94,-4.99,NO_MOVE_EXTENDED,7
2025-03-17,NIFTY,VWAP,CALL,NEUTRAL,-0.135,11:35:00,11:40:00,22522.55,55.13,22497.95,0.0,3,50,150,0,0.0,0,0.0,48.77,-1254.4,-1296.55,-15.4,SL hit,3
2025-03-21,NIFTY,ORB,CALL,NEUTRAL,0.011,10:45:00,10:50:00,23341.75,80.8,23233.53,23492.55,2,50,100,0,0.0,0,0.0,81.91,-88.71,-131.14,-1.6,NO_MOVE_EXTENDED,6
2025-03-24,NIFTY,ORB,CALL,BULLISH,0.684,10:55:00,11:00:00,23625.25,57.83,23493.84,23649.0,2,50,100,0,0.0,0,0.0,60.92,109.44,67.64,1.15,NO_MOVE_EXTENDED,3
2025-03-26,NIFTY,VWAP,PUT,BULLISH,0.402,11:00:00,11:05:00,23638.05,33.41,23682.0,0.0,3,50,150,0,0.0,0,0.0,27.76,-1147.33,-1188.53,-23.03,Hard SL,1
2025-03-26,NIFTY,ORB,PUT,BULLISH,0.402,11:55:00,12:00:00,23589.35,33.34,23669.93,23498.75,1,50,50,0,0.0,0,0.0,26.58,-438.08,-478.46,-27.87,Hard SL,1
2025-04-01,NIFTY,ORB,PUT,BEARISH,-0.656,10:55:00,11:00:00,23243.5,46.45,23406.92,23000.02,1,50,50,0,0.0,0,0.0,52.38,196.33,155.56,6.56,Trail SL,2
2025-04-08,NIFTY,ORB,PUT,BULLISH,0.939,10:30:00,10:35:00,22377.4,31.63,22485.99,22250.55,1,50,50,1,49.228066,0,0.0,49.23,779.9,739.18,45.31,Partial 1 + close,1
