date,index,direction,sweep_time,level_price,level_kind,wick_pts,rr,adx,trend,entry_spot,sl_spot,tp_spot,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-07-15,NIFTY,CALL,09:45:00,24536.15,OR_L,13.4,2.0,37.9,BULL,24550.05,24515.39,24619.36,133.54,143.66,1,50,50,306.23,264.11,3.96,No-run exit,3
2024-07-16,NIFTY,PUT,10:10:00,24635.05,PDH,13.85,1.58,21.1,BULL,24634.4,24656.29,24599.75,109.41,95.51,2,50,100,-1790.0,-1832.8,-16.75,SL hit,2
2024-07-18,NIFTY,CALL,09:45:00,24547.55,SWING_L,25.3,2.0,15.3,NEUTRAL,24649.4,24514.89,24918.41,204.81,196.27,1,50,50,-627.21,-670.13,-6.54,No-run exit,7
2024-07-22,NIFTY,CALL,09:55:00,24508.15,PDL,19.55,2.0,25.7,BEAR,24533.95,24481.25,24639.34,133.45,143.92,1,50,50,323.54,281.41,4.22,No-run exit,3
2024-07-23,NIFTY,PUT,10:15:00,24461.05,SWING_H,12.5,2.0,27.4,BEAR,24442.45,24480.89,24365.57,108.56,101.69,1,50,50,-543.32,-584.81,-10.77,No-run exit,2
2024-07-24,NIFTY,CALL,09:55:00,24405.6,OR_L,32.15,2.0,35.5,NEUTRAL,24462.95,24366.14,24656.57,76.83,44.0,1,50,50,-1841.7,-1882.33,-49.0,SL hit (theta),1
2024-07-29,NIFTY,CALL,11:00:00,24904.55,OR_L,13.35,2.0,68.4,BULL,24934.75,24883.73,25036.78,135.63,139.8,1,50,50,8.73,-33.34,-0.49,No-run exit,3
2024-08-02,NIFTY,CALL,10:10:00,24751.1,OR_L,13.8,2.0,6.5,BULL,24778.9,24729.88,24876.94,190.62,193.61,1,50,50,-50.54,-93.42,-0.98,No-run exit,6
2024-08-05,NIFTY,PUT,11:15:00,24036.6,SWING_H,22.65,2.0,41.5,BEAR,23994.9,24066.47,23851.76,130.52,123.57,1,50,50,-547.63,-589.46,-9.03,No-run exit,3
2024-08-06,NIFTY,PUT,10:15:00,24288.85,SWING_H,12.8,1.97,52.3,BEAR,24275.85,24308.94,24210.8,107.82,155.62,1,50,50,2189.94,2147.64,39.84,Target hit,2
2024-08-07,NIFTY,PUT,10:45:00,24306.45,OR_H,25.15,1.55,28.6,BEAR,24301.2,24338.9,24242.7,76.32,114.97,1,50,50,1732.41,1690.72,44.31,Target hit,1
2024-08-08,NIFTY,CALL,10:50:00,24184.9,PDL,16.75,2.08,9.8,BULL,24193.1,24160.9,24260.05,186.11,163.52,1,50,50,-1329.72,-1372.14,-14.75,SL hit,6
2024-08-09,NIFTY,PUT,10:25:00,24340.5,PDH,31.85,2.0,20.2,BEAR,24328.65,24379.66,24226.63,170.85,159.67,1,50,50,-759.11,-801.48,-9.38,No-run exit,5
2024-08-12,NIFTY,CALL,10:40:00,24311.2,PDL,14.15,2.0,20.9,BULL,24351.55,24289.76,24475.13,108.15,116.74,1,50,50,229.64,187.92,3.48,No-run exit,2
2024-08-13,NIFTY,CALL,11:15:00,24308.35,OR_L,14.1,1.62,18.4,NEUTRAL,24314.85,24286.96,24359.95,76.36,74.68,1,50,50,-284.22,-325.31,-8.52,No-run exit,1
2024-08-16,NIFTY,CALL,11:30:00,24302.8,OR_L,57.7,2.0,10.3,BEAR,24326.0,24237.83,24502.35,187.13,250.29,1,50,50,2958.16,2914.44,31.15,Target hit,6
2024-08-28,NIFTY,CALL,09:50:00,25000.35,OR_L,17.65,2.0,45.8,BULL,25015.4,24975.21,25095.79,78.56,76.86,1,50,50,-285.14,-326.27,-8.31,No-run exit,1
2024-09-06,NIFTY,PUT,09:50:00,25043.8,SWING_H,20.1,2.0,12.1,BEAR,24991.15,25071.42,24830.61,192.25,202.98,1,50,50,336.62,293.61,3.05,No-run exit,6
2024-09-11,NIFTY,CALL,10:35:00,25070.15,SWING_L,20.3,1.64,37.3,BULL,25075.7,25042.34,25130.5,78.75,77.37,1,50,50,-268.87,-310.0,-7.87,No-run exit,1
2024-09-18,NIFTY,PUT,13:00:00,25441.65,PDH,21.5,2.0,25.4,NEUTRAL,25386.7,25470.79,25218.52,79.73,85.74,1,50,50,100.36,59.11,1.48,No-run exit,1
2024-09-19,NIFTY,PUT,09:50:00,25587.1,OR_H,24.85,2.0,32.2,BEAR,25538.1,25619.63,25375.03,212.2,212.12,1,50,50,-203.93,-247.08,-2.33,No-run exit,7
2024-09-20,NIFTY,PUT,13:35:00,25700.0,ROUND,86.3,2.0,17.0,BULL,25572.6,25794.04,25129.73,196.72,121.57,1,50,50,-3957.72,-3999.52,-40.66,SL hit (theta),6
2024-10-03,NIFTY,PUT,09:55:00,25603.85,OR_H,28.4,1.67,9.0,NEUTRAL,25575.5,25639.94,25467.65,212.51,226.74,1,50,50,511.72,468.35,4.41,No-run exit,7
2024-10-04,NIFTY,PUT,11:05:00,25321.7,SWING_H,27.7,2.0,71.2,BEAR,25302.8,25357.0,25194.39,194.65,182.07,1,50,50,-828.76,-871.46,-8.95,No-run exit,6
2024-10-07,NIFTY,PUT,10:30:00,25030.85,SWING_H,22.3,2.0,34.5,BEAR,25018.7,25060.67,24934.77,136.09,193.55,1,50,50,2672.79,2629.92,38.65,Target hit,3
2024-10-08,NIFTY,PUT,09:35:00,24808.9,SWING_H,37.0,2.0,31.7,BEAR,24786.35,24853.35,24652.34,110.09,62.44,1,50,50,-2582.35,-2623.25,-47.66,SL hit (theta),2
2024-10-09,NIFTY,PUT,11:45:00,25192.45,SWING_H,13.55,2.0,17.6,NEUTRAL,25161.05,25213.56,25056.03,79.02,80.79,1,50,50,-111.7,-152.88,-3.87,No-run exit,1
2024-10-10,NIFTY,PUT,10:20:00,25113.7,SWING_H,20.35,2.0,14.4,NEUTRAL,25098.15,25141.59,25011.27,208.54,215.48,1,50,50,147.02,103.82,1.0,No-run exit,7
