date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-03-03,NIFTY,PUT,22261.55,22154.85,0.00481610121485818,10:00:00,22024.9,119.81,80.72,1,50,50,-2154.39,-2195.57,-36.65,SL hit,3
2025-03-04,NIFTY,CALL,22049.65,21964.6,0.003872139715724526,10:45:00,22082.3,98.08,74.85,1,50,50,-1361.33,-1402.42,-28.6,SL hit,2
2025-03-05,NIFTY,CALL,22197.85,22067.8,0.005893201859723184,10:00:00,22239.0,69.84,113.01,1,50,50,1958.45,1916.79,54.89,Target hit,1
2025-03-07,NIFTY,CALL,22572.85,22464.75,0.004811983218152819,10:00:00,22605.7,173.9,138.56,1,50,50,-1966.99,-2009.04,-23.11,SL hit,6
2025-03-10,NIFTY,CALL,22603.25,22498.65,0.004649167838959162,10:00:00,22631.75,123.11,89.94,1,50,50,-1858.39,-1899.71,-30.86,SL hit,3
2025-03-11,NIFTY,CALL,22387.6,22314.7,0.0032669047757755117,10:00:00,22422.55,99.59,116.8,1,50,50,660.66,618.93,12.43,Hard close,2
2025-03-12,NIFTY,PUT,22577.4,22461.3,0.005168890491645728,10:00:00,22425.2,70.43,56.17,1,50,50,-912.8,-953.61,-27.08,SL hit,1
2025-03-13,NIFTY,PUT,22556.0,22460.4,0.004256380117896322,11:30:00,22433.5,186.4,182.42,1,50,50,-398.92,-441.62,-4.74,Hard close,7
2025-03-18,NIFTY,CALL,22671.3,22599.2,0.0031903784204749966,10:00:00,22745.35,101.02,68.09,1,50,50,-1846.52,-1887.51,-37.37,SL hit,2
2025-03-19,NIFTY,CALL,22888.3,22807.95,0.003522894429354613,12:45:00,22934.0,72.03,56.12,1,50,50,-995.72,-1036.53,-28.78,SL hit,1
2025-03-20,NIFTY,CALL,23065.45,22994.4,0.003089882754061827,12:30:00,23093.7,191.89,224.18,1,50,50,1414.53,1371.19,14.29,Hard close,7
2025-03-25,NIFTY,CALL,23766.2,23664.9,0.004280601227978959,10:15:00,23813.0,105.76,78.54,1,50,50,-1560.96,-1602.1,-30.3,SL hit,2
2025-03-26,NIFTY,PUT,23736.5,23663.4,0.0030891587852970638,11:45:00,23589.15,74.08,54.07,1,50,50,-1200.63,-1241.41,-33.52,SL hit,1
2025-03-27,NIFTY,CALL,23556.55,23412.2,0.006165588881010693,10:00:00,23600.35,196.1,157.45,1,50,50,-2132.61,-2174.94,-22.18,Hard close,7
2025-03-28,NIFTY,PUT,23629.7,23553.25,0.0032458365618333236,10:00:00,23524.15,180.96,132.4,1,50,50,-2627.82,-2669.78,-29.51,SL hit,6
