date,direction,gap_pct,entry_premium,entry_spot,lots,candles_held_5min,partial1_lots,partial1_premium,partial2_lots,partial2_premium,final_premium,final_reason,highest_premium,trailing_sl_at_exit,adx_val,rsi_val,range_ratio,ema9,gross_pnl,theta_cost,slippage_cost,brokerage,stt_cost,net_pnl,net_pnl_pct
2025-01-16,CALL,0.61,381.51,49399.1,1,1,0,0.0,0,0.0,334.23,HARD_SL,381.51,0.0,31.2,86.6,1.95,49087.4,-709.23,1.53,22.5,40.0,1.5,-773.23,-0.77
2025-01-17,PUT,-0.86,343.2,48658.4,1,2,0,0.0,0,0.0,339.09,NO_MOVE,347.41,0.0,34.9,22.1,2.42,48950.1,-61.63,2.75,22.5,40.0,1.53,-125.66,-0.13
2025-01-20,CALL,0.63,218.69,48900.35,1,2,0,0.0,0,0.0,229.6,NO_MOVE,231.1,0.0,32.8,74.2,1.77,48764.2,163.69,1.75,22.5,40.0,1.03,100.15,0.1
2025-01-27,PUT,-0.97,214.51,47960.0,1,4,0,0.0,0,0.0,187.27,HARD_SL,228.71,0.0,27.6,33.3,1.94,48101.4,-408.62,3.43,22.5,40.0,0.84,-471.96,-0.47
2025-01-28,CALL,1.28,154.37,48675.6,1,8,0,0.0,0,0.0,202.85,TRAIL_SL,240.41,204.35,31.3,74.1,1.81,48486.0,727.24,4.94,22.5,40.0,0.91,663.83,0.66
2025-02-04,CALL,0.64,157.75,49751.5,1,7,0,0.0,0,0.0,225.94,TRAIL_SL,267.57,227.44,24.7,80.5,2.48,49477.6,1022.84,4.42,22.5,40.0,1.02,959.32,0.96
2025-02-05,CALL,0.58,159.61,50343.2,1,4,0,0.0,0,0.0,181.97,TRAIL_SL,215.85,183.47,31.1,64.2,1.74,50257.7,335.48,2.55,22.5,40.0,0.82,272.16,0.27
2025-02-10,PUT,-0.3,222.77,49819.1,1,2,0,0.0,0,0.0,216.27,NO_MOVE,231.43,0.0,24.2,42.9,1.62,49845.1,-97.43,1.78,22.5,40.0,0.97,-160.9,-0.16
2025-02-11,PUT,-0.31,157.37,49632.75,1,1,0,0.0,0,0.0,136.99,HARD_SL,157.37,0.0,28.2,24.6,2.0,49817.8,-305.77,0.63,22.5,40.0,0.62,-368.89,-0.37
2025-02-17,PUT,-0.36,218.03,48751.95,1,3,0,0.0,0,0.0,318.18,TREND_CHECK_EXIT,319.68,271.73,32.9,35.4,1.41,48904.7,1502.28,2.62,22.5,40.0,1.43,1438.34,1.44
2025-02-20,PUT,-0.41,379.82,49178.35,1,1,0,0.0,0,0.0,332.74,HARD_SL,379.82,0.0,24.0,31.7,1.98,49323.5,-706.17,1.52,22.5,40.0,1.5,-770.17,-0.77
2025-02-24,PUT,-0.58,216.64,48440.1,1,2,0,0.0,0,0.0,222.47,NO_MOVE,223.97,0.0,30.3,20.2,1.8,48651.2,87.43,1.73,22.5,40.0,1.0,23.93,0.02
2025-02-28,PUT,-0.42,339.49,48129.8,1,2,0,0.0,0,0.0,330.39,NO_MOVE,339.49,0.0,23.5,24.5,1.64,48290.1,-136.56,2.72,22.5,40.0,1.49,-200.55,-0.2
2025-03-11,PUT,-0.61,151.66,47813.45,1,1,0,0.0,0,0.0,131.96,HARD_SL,151.66,0.0,45.3,18.4,1.97,47997.6,-295.49,0.61,22.5,40.0,0.59,-358.58,-0.36
