date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,tp_spot,lots,lot_size,quantity,partial1_lots,partial1_px,partial2_lots,partial2_px,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-01-06,BANKNIFTY,ORB,PUT,NEUTRAL,0.032,11:45:00,11:50:00,50020.3,222.16,50673.79,49767.85,1,15,15,0,0.0,0,0.0,151.03,-1096.98,-1137.66,-33.99,Hard SL,2
2025-01-08,BANKNIFTY,ORB,PUT,NEUTRAL,0.036,10:40:00,10:45:00,49636.9,412.44,50090.87,49689.65,1,15,15,0,0.0,0,0.0,381.61,-492.41,-534.13,-8.61,TP hit,7
2025-01-09,BANKNIFTY,ORB,PUT,NEUTRAL,-0.248,10:45:00,10:50:00,49426.05,380.22,49580.15,49019.73,1,15,15,0,0.0,0,0.0,374.78,-111.53,-153.21,-2.68,Trail SL,6
2025-01-14,BANKNIFTY,PDH_PDL,PUT,BULLISH,0.45,10:15:00,10:20:00,48438.85,152.12,48677.15,48529.87,1,15,15,0,0.0,0,0.0,122.86,-468.88,-509.43,-22.18,VWAP TP,1
2025-01-14,BANKNIFTY,ORB,CALL,BULLISH,0.45,11:15:00,11:20:00,48706.6,152.97,48503.09,49191.95,1,15,15,0,0.0,0,0.0,135.87,-286.44,-327.05,-14.16,Trail SL,1
2025-01-15,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.106,11:30:00,11:35:00,48868.0,406.05,48949.35,0.0,1,15,15,0,0.0,0,0.0,357.07,-764.77,-806.38,-13.21,SL hit,7
2025-01-16,BANKNIFTY,VWAP,CALL,BULLISH,0.614,11:35:00,11:40:00,49301.2,379.26,49242.3,0.0,1,15,15,0,0.0,0,0.0,350.14,-466.83,-508.4,-8.91,NO_MOVE_TREND_LOST,6
2025-01-17,BANKNIFTY,ORB,PUT,BEARISH,-0.864,10:35:00,10:40:00,48521.0,340.74,48729.78,47913.58,1,15,15,0,0.0,0,0.0,383.51,611.55,569.82,11.12,Trail SL,5
2025-01-17,BANKNIFTY,ORB,PUT,BEARISH,-0.864,11:05:00,11:10:00,48416.45,340.0,48729.78,47913.58,1,15,15,0,0.0,0,0.0,276.65,-980.31,-1021.55,-19.97,Hard SL,5
2025-01-20,BANKNIFTY,ORB,CALL,BULLISH,0.635,11:15:00,11:20:00,49267.45,218.82,48855.66,49298.1,1,15,15,0,0.0,0,0.0,239.98,287.34,246.27,7.47,TP hit,2
2025-01-22,BANKNIFTY,VWAP,PUT,NEUTRAL,0.13,10:35:00,10:40:00,48500.9,403.0,48641.05,0.0,1,15,15,1,527.734871012726,0,0.0,527.73,1841.02,1798.65,29.68,Partial 1 + close,7
2025-01-24,BANKNIFTY,ORB,CALL,NEUTRAL,-0.102,11:10:00,11:15:00,48790.35,342.63,48644.82,49097.42,1,15,15,0,0.0,0,0.0,286.63,-869.96,-911.24,-17.68,Hard SL,5
2025-01-24,BANKNIFTY,ORB,CALL,NEUTRAL,-0.102,11:40:00,11:45:00,48813.25,342.79,48644.82,49097.42,1,15,15,0,0.0,0,0.0,276.28,-1027.68,-1068.92,-20.73,Hard SL,5
2025-01-28,BANKNIFTY,ORB,CALL,BULLISH,1.283,10:30:00,10:35:00,48771.5,153.17,48599.27,48985.55,1,15,15,1,202.53295864449265,0,0.0,202.53,710.44,669.54,28.95,Partial 1 + close,1
2025-01-29,BANKNIFTY,VWAP,PUT,NEUTRAL,0.226,11:20:00,11:25:00,48883.2,406.18,49063.75,0.0,1,15,15,0,0.0,0,0.0,343.43,-971.25,-1012.79,-16.58,Hard SL,7
2025-02-01,BANKNIFTY,ORB,CALL,NEUTRAL,-0.044,10:40:00,10:45:00,49803.2,312.82,49676.39,50158.88,1,15,15,0,0.0,0,0.0,331.62,251.97,210.49,4.47,Trail SL,4
2025-02-01,BANKNIFTY,ORB,CALL,NEUTRAL,-0.044,11:35:00,11:40:00,49870.75,313.24,49676.39,50158.88,1,15,15,0,0.0,0,0.0,233.73,-1222.72,-1263.77,-26.81,Hard SL,4
2025-02-14,BANKNIFTY,ORB,PUT,NEUTRAL,0.291,10:35:00,10:40:00,49150.2,345.16,49403.6,48916.7,1,15,15,0,0.0,0,0.0,391.49,665.02,623.27,12.0,Trail SL,5
2025-02-14,BANKNIFTY,ORB,PUT,NEUTRAL,0.291,11:10:00,11:15:00,49034.5,344.34,49403.6,48916.7,1,15,15,0,0.0,0,0.0,415.96,1044.33,1002.46,19.35,TP hit,5
2025-02-17,BANKNIFTY,VWAP,CALL,BEARISH,-0.362,12:40:00,12:45:00,48834.65,216.89,48759.1,0.0,1,15,15,1,333.8056614011398,0,0.0,333.81,1723.73,1682.24,51.47,Partial 1 + close,2
2025-02-19,BANKNIFTY,ORB,CALL,BEARISH,-0.344,10:45:00,10:50:00,49501.9,380.8,49141.12,50008.0,1,15,15,0,0.0,0,0.0,314.23,-1028.54,-1069.95,-18.68,Hard SL,6
