date,index,setup,direction,bias,gap_pct,signal_time,entry_time,entry_spot,entry_premium,sl_spot,lots,lot_size,quantity,exit_premium,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2024-06-26,BANKNIFTY,ORB,CALL,NEUTRAL,0.044,11:25:00,11:30:00,52819.85,438.89,52623.46,1,15,15,336.66,1503.46,1461.94,22.26,Hard close (14:30),7
2024-07-02,BANKNIFTY,ORB,PUT,BULLISH,0.518,11:40:00,11:45:00,52094.3,163.6,52394.9,1,15,15,184.59,-344.91,-385.74,-15.82,Hard close (14:30),1
2024-07-08,BANKNIFTY,VWAP,PUT,NEUTRAL,-0.19,10:30:00,10:35:00,52496.85,233.16,52676.55,1,15,15,190.45,610.63,569.76,16.36,Hard close (14:30),2
2024-07-12,BANKNIFTY,VWAP,CALL,NEUTRAL,-0.063,10:50:00,10:55:00,52495.4,329.73,52253.8,1,15,15,279.2,727.89,686.63,13.92,Hard close (14:30),4
2024-07-18,BANKNIFTY,VWAP,CALL,BEARISH,-0.353,12:10:00,12:15:00,52424.05,403.28,52306.25,1,15,15,233.85,2511.48,2470.42,40.94,Hard close (14:30),6
2024-07-19,BANKNIFTY,ORB,PUT,NEUTRAL,-0.053,10:55:00,11:00:00,52229.4,366.78,52413.99,1,15,15,323.19,623.83,582.37,10.61,Hard close (14:30),5
2024-07-23,BANKNIFTY,VWAP,PUT,BULLISH,0.349,11:15:00,11:20:00,52144.65,163.76,52370.5,1,15,15,29.27,1987.39,1947.25,79.76,Short TP,1
2024-07-23,BANKNIFTY,SMC,CALL,BULLISH,0.349,12:30:00,12:35:00,51943.3,163.13,51534.07,1,15,15,304.34,-2148.13,-2189.5,-90.03,Short SL,1
2024-07-24,BANKNIFTY,SMC,PUT,NEUTRAL,-0.192,13:20:00,13:25:00,51163.5,425.12,51220.57,1,15,15,452.17,-435.8,-477.84,-7.51,Hard close (14:30),7
2024-07-26,BANKNIFTY,ORB,CALL,BEARISH,-0.846,11:55:00,12:00:00,50960.45,357.87,50744.97,1,15,15,195.52,2405.22,2364.33,44.17,Hard close (14:30),5
2024-07-29,BANKNIFTY,ORB,CALL,BULLISH,0.378,10:55:00,11:00:00,52099.9,231.4,51788.03,1,15,15,352.45,-1845.73,-1887.32,-54.61,Short SL,2
2024-07-30,BANKNIFTY,ORB,CALL,NEUTRAL,-0.011,11:30:00,11:35:00,51746.85,162.51,51497.77,1,15,15,94.95,983.46,943.03,38.93,Hard close (14:30),1
2024-08-02,BANKNIFTY,ORB,CALL,BEARISH,-0.841,10:30:00,10:35:00,51450.0,361.31,51290.12,1,15,15,283.33,1139.69,1098.41,20.32,Hard close (14:30),5
2024-08-05,BANKNIFTY,ORB,PUT,BEARISH,-1.464,10:45:00,10:50:00,50098.9,222.51,50466.96,1,15,15,51.19,2539.85,2499.61,75.23,Short TP,2
