date,index,direction,or_high,or_low,or_range_pct,breakout_time,breakout_price,entry_premium,exit_premium,lots,lot_size,quantity,gross_pnl,net_pnl,pnl_pct,exit_reason,dte
2025-01-27,SENSEX,PUT,75832.96,75545.93,0.0037994105043119256,10:15:00,75443.92,473.87,369.52,1,10,10,-1083.52,-1124.62,-23.73,SL hit,4
2025-01-29,SENSEX,CALL,76257.28,75983.53,0.003602754439021193,10:45:00,76403.86,339.34,265.98,1,10,10,-773.57,-814.36,-24.0,SL hit,2
2025-02-04,SENSEX,CALL,77760.38,77516.99,0.0031398277977511694,12:00:00,77874.87,423.61,705.35,1,10,10,2777.39,2735.28,64.57,Target hit,3
2025-02-06,SENSEX,PUT,78551.66,78255.98,0.0037783693974570067,10:00:00,78078.06,245.21,254.55,1,10,10,53.36,12.6,0.51,Hard close,1
2025-02-10,SENSEX,PUT,77849.58,77516.36,0.0042987054603699296,10:00:00,77248.35,485.2,374.08,1,10,10,-1151.17,-1192.28,-24.57,SL hit,4
2025-02-11,SENSEX,PUT,77387.28,77077.77,0.004015554679384144,10:00:00,76972.73,418.7,750.85,1,10,10,3281.47,3239.22,77.36,Target hit,3
2025-02-12,SENSEX,PUT,76409.27,75981.25,0.005633231882865892,10:00:00,75493.03,335.29,184.57,1,10,10,-1547.24,-1587.78,-47.36,SL hit,2
2025-02-13,SENSEX,CALL,76385.16,76013.43,0.004890320039498422,10:00:00,76571.44,240.48,177.57,1,10,10,-669.06,-709.59,-29.51,SL hit,1
2025-02-17,SENSEX,CALL,75730.01,75294.76,0.005780614746630443,10:30:00,75856.45,476.46,303.54,1,10,10,-1769.2,-1810.11,-37.99,SL hit,4
2025-02-18,SENSEX,PUT,76043.17,75795.42,0.0032686671569337566,10:15:00,75603.37,411.25,316.86,1,10,10,-983.91,-1024.86,-24.92,SL hit,3
2025-03-03,SENSEX,PUT,73649.72,73307.59,0.004667047436697955,10:00:00,72834.0,457.48,348.52,1,10,10,-1129.6,-1170.64,-25.59,SL hit,4
2025-03-05,SENSEX,CALL,73377.93,72894.05,0.006638127528927122,10:00:00,73456.87,326.25,381.0,1,10,10,507.5,466.37,14.29,Hard close,2
2025-03-10,SENSEX,CALL,74486.87,74156.0,0.004461810237876845,10:00:00,74602.64,405.81,308.97,1,10,10,-1008.4,-1049.32,-25.86,SL hit,3
2025-03-12,SENSEX,PUT,74392.15,74039.38,0.0047646266081643246,10:00:00,73885.72,232.04,177.3,1,10,10,-587.38,-627.9,-27.06,SL hit,1
2025-03-19,SENSEX,CALL,75473.69,75201.48,0.003619742590172513,12:45:00,75558.11,335.58,291.43,1,10,10,-481.47,-522.34,-15.57,Hard close,2
2025-03-25,SENSEX,CALL,78402.92,78085.53,0.004064645523953022,10:15:00,78536.79,427.21,338.5,1,10,10,-927.07,-968.07,-22.66,SL hit,3
2025-03-26,SENSEX,PUT,78167.87,77876.83,0.003737183447246037,11:45:00,77683.45,345.02,499.75,1,10,10,1507.32,1465.83,42.49,Hard close,2
2025-03-27,SENSEX,CALL,77553.28,77082.51,0.006107351719605448,10:00:00,77680.73,243.96,193.92,1,10,10,-540.37,-580.95,-23.81,SL hit,1
2025-04-01,SENSEX,PUT,77194.59,76775.79,0.005454844554513903,10:15:00,76508.0,416.17,541.66,1,10,10,1214.86,1173.24,28.19,Hard close,3
2025-04-02,SENSEX,CALL,76364.16,76064.94,0.0039337439824444894,10:15:00,76457.34,339.58,246.49,1,10,10,-970.88,-1011.61,-29.79,SL hit,2
2025-04-03,SENSEX,CALL,76304.62,75807.55,0.0065569986102966315,10:00:00,76418.51,240.0,172.28,1,10,10,-717.24,-757.75,-31.57,SL hit,1
2025-04-08,SENSEX,PUT,74421.65,73993.97,0.00577993044568352,10:00:00,73830.46,401.61,294.66,1,10,10,-1109.5,-1150.38,-28.64,SL hit,3
2025-04-21,SENSEX,CALL,79152.86,78776.06,0.004783179052113077,10:45:00,79352.92,498.42,460.42,1,10,10,-419.98,-461.36,-9.26,Hard close,4
2025-04-29,SENSEX,PUT,80661.31,80329.69,0.004128237019214133,10:15:00,80206.81,436.29,348.0,1,10,10,-922.94,-963.98,-22.09,SL hit,3
2025-05-06,SENSEX,PUT,80981.58,80666.35,0.003907825257991665,10:00:00,80565.98,438.25,348.5,1,10,10,-937.55,-978.59,-22.33,SL hit,3
2025-05-13,SENSEX,PUT,82572.81,81754.08,0.010014546063022125,10:15:00,81406.3,442.82,238.99,1,10,10,-2078.27,-2118.98,-47.85,SL hit,3
2025-05-14,SENSEX,PUT,81646.86,81184.89,0.005690344594911703,12:45:00,81044.48,359.95,264.68,1,10,10,-992.69,-1033.48,-28.71,SL hit,2
2025-05-15,SENSEX,PUT,81439.04,81044.44,0.0048689336369033,10:00:00,80943.6,254.21,0.1,1,10,10,-2561.1,-2601.1,-102.32,SL hit,1
2025-05-22,SENSEX,PUT,81323.24,80826.38,0.006147250439769795,12:15:00,80686.61,253.4,177.55,1,10,10,-798.52,-839.05,-33.11,SL hit,1
2025-05-27,SENSEX,CALL,82091.54,81303.88,0.009687852535450816,11:15:00,82209.05,447.18,338.41,1,10,10,-1127.71,-1168.72,-26.14,SL hit,3
2025-05-29,SENSEX,PUT,81816.89,81500.16,0.0038862500392636765,10:30:00,81327.35,255.41,200.84,1,10,10,-585.75,-626.35,-24.52,SL hit,1
2025-06-03,SENSEX,PUT,81774.23,81115.82,0.008116912335965893,11:00:00,80913.75,440.14,422.51,1,10,10,-216.34,-257.6,-5.85,Hard close,3
2025-06-05,SENSEX,CALL,81312.5,80983.73,0.0040597043381430335,11:15:00,81402.01,255.65,450.87,1,10,10,1912.25,1870.9,73.18,Target hit,1
